,AGVH,AGVD,AGVA,LEVEL,SUM
158,0.23,0.37,0.4,0,9.12
159,0.33,0.39,0.27,0,8.74
160,0.41,0.37,0.22,0,9.15
161,0.54,0.34,0.12,0,12.55
162,0.24,0.36,0.4,0,9.02
163,0.29,0.37,0.34,0,8.64
164,0.27,0.38,0.35,0,8.76
165,0.45,0.36,0.18,0,9.86
166,0.54,0.34,0.12,0,12.52
167,0.1,0.32,0.59,0,14.48
168,0.21,0.37,0.42,0,9.36
169,0.24,0.37,0.39,0,8.96
170,0.19,0.38,0.43,0,9.73
171,0.26,0.38,0.36,0,8.75
172,0.27,0.37,0.37,0,8.77
173,0.28,0.38,0.34,0,8.7
174,0.28,0.37,0.35,0,8.66
175,0.22,0.37,0.41,0,9.15
176,0.3,0.37,0.33,0,8.61
177,0.09,0.35,0.56,0,14.75
178,0.27,0.38,0.35,0,8.72
179,0.25,0.38,0.38,0,8.84
180,0.26,0.37,0.37,0,8.81
181,0.55,0.34,0.12,0,12.8
182,0.2,0.37,0.43,0,9.56
183,0.17,0.37,0.46,0,10.16
184,0.5,0.34,0.16,0,10.74
185,0.27,0.38,0.35,0,8.74
186,0.26,0.38,0.36,0,8.83
187,0.24,0.38,0.37,0,8.93
188,0.4,0.38,0.22,0,9.21
189,0.25,0.38,0.37,0,8.91
190,0.3,0.39,0.32,0,8.67
191,0.47,0.36,0.17,0,10.24
192,0.27,0.38,0.35,0,8.76
193,0.21,0.37,0.43,0,9.39
194,0.23,0.35,0.42,0,9.18
195,0.2,0.38,0.42,0,9.42
196,0.32,0.36,0.33,0,8.57
197,0.18,0.35,0.48,0,10.09
198,0.44,0.38,0.18,0,9.83
199,0.23,0.38,0.38,0,9.02
200,0.35,0.38,0.27,0,8.72
201,0.13,0.35,0.52,0,11.63
202,0.25,0.38,0.37,0,8.85
203,0.17,0.36,0.48,0,10.32
204,0.27,0.38,0.34,0,8.76
205,0.36,0.38,0.26,0,8.8
206,0.24,0.37,0.39,0,9.02
207,0.28,0.37,0.35,0,8.7
208,0.51,0.34,0.15,0,11.06
209,0.19,0.36,0.45,0,9.77
210,0.38,0.38,0.24,0,9.0
211,0.31,0.37,0.32,0,8.66
212,0.28,0.37,0.35,0,8.66
213,0.45,0.37,0.17,0,10.19
214,0.13,0.34,0.53,0,12.11
215,0.43,0.38,0.19,0,9.78
216,0.26,0.37,0.38,0,8.82
217,0.24,0.37,0.38,0,8.93
218,0.17,0.35,0.48,0,10.29
219,0.36,0.37,0.27,0,8.71
220,0.25,0.38,0.37,0,8.9
221,0.29,0.38,0.34,0,8.65
222,0.07,0.32,0.61,0,17.4
223,0.52,0.34,0.14,0,11.5
224,0.2,0.36,0.45,0,9.59
225,0.33,0.37,0.29,0,8.65
226,0.51,0.34,0.14,0,11.26
227,0.23,0.37,0.4,0,9.03
228,0.21,0.37,0.43,0,9.36
229,0.31,0.38,0.3,0,8.62
230,0.23,0.36,0.41,0,9.13
231,0.48,0.35,0.17,0,10.31
232,0.16,0.35,0.49,0,10.58
233,0.17,0.35,0.49,0,10.35
234,0.26,0.36,0.38,0,8.83
235,0.27,0.38,0.35,0,8.73
236,0.21,0.37,0.43,0,9.4
237,0.32,0.37,0.31,0,8.62
238,0.23,0.37,0.4,0,9.11
239,0.2,0.36,0.44,0,9.52
240,0.27,0.37,0.35,0,8.73
241,0.13,0.34,0.53,0,12.05
242,0.32,0.38,0.3,0,8.6
243,0.26,0.37,0.37,0,8.77
244,0.26,0.37,0.36,0,8.77
245,0.27,0.37,0.36,0,8.7
246,0.41,0.36,0.22,0,9.12
247,0.06,0.31,0.63,0,21.0
248,0.35,0.37,0.28,0,8.68
249,0.37,0.38,0.25,0,8.84
250,0.31,0.38,0.31,0,8.65
251,0.44,0.36,0.2,0,9.51
252,0.05,0.28,0.67,0,24.19
253,0.42,0.37,0.21,0,9.3
254,0.5,0.35,0.15,0,10.92
255,0.58,0.34,0.09,0,15.44
256,0.13,0.32,0.55,0,12.13
257,0.05,0.27,0.68,0,23.3
258,0.28,0.38,0.34,0,8.67
259,0.55,0.33,0.12,0,12.61
260,0.24,0.38,0.38,0,8.95
261,0.3,0.37,0.33,0,8.63
262,0.18,0.37,0.45,0,9.95
263,0.18,0.34,0.47,0,9.96
264,0.25,0.36,0.39,0,8.86
265,0.23,0.35,0.41,0,9.11
266,0.13,0.34,0.53,0,12.07
267,0.4,0.38,0.23,0,9.11
268,0.18,0.36,0.46,0,9.92
269,0.35,0.38,0.27,0,8.78
270,0.04,0.3,0.65,0,26.07
271,0.37,0.38,0.25,0,8.84
272,0.28,0.38,0.34,0,8.65
273,0.26,0.38,0.37,0,8.81
274,0.05,0.29,0.66,0,22.6
275,0.57,0.34,0.1,0,14.38
276,0.3,0.38,0.31,0,8.65
277,0.3,0.38,0.31,0,8.65
278,0.35,0.38,0.27,0,8.75
279,0.26,0.37,0.37,0,8.87
280,0.28,0.38,0.34,0,8.71
281,0.32,0.38,0.31,0,8.69
282,0.19,0.36,0.44,0,9.74
283,0.28,0.37,0.35,0,8.73
284,0.46,0.37,0.17,0,10.22
285,0.52,0.34,0.14,0,11.46
286,0.17,0.34,0.49,0,10.4
287,0.46,0.35,0.18,0,9.93
288,0.33,0.39,0.28,0,8.74
289,0.24,0.36,0.4,0,8.96
290,0.39,0.37,0.23,0,9.05
291,0.24,0.36,0.39,0,8.99
292,0.29,0.37,0.34,0,8.68
293,0.24,0.37,0.39,0,9.01
294,0.32,0.36,0.32,0,8.65
295,0.27,0.38,0.34,0,8.79
296,0.18,0.37,0.46,0,10.11
297,0.2,0.38,0.43,0,9.67
298,0.32,0.37,0.31,0,8.65
299,0.18,0.35,0.48,0,10.15
300,0.19,0.36,0.44,0,9.67
301,0.1,0.33,0.57,0,14.03
302,0.47,0.37,0.17,0,10.43
303,0.11,0.34,0.55,0,13.37
