,AGVH,AGVD,AGVA,LEVEL,SUM
144,0.13,0.35,0.51,2.0,11.5
145,0.06,0.28,0.66,4.0,20.32
146,0.24,0.38,0.39,3.0,8.87
147,0.59,0.31,0.09,1.0,14.93
148,0.22,0.38,0.4,3.0,9.01
149,0.24,0.37,0.39,1.0,8.88
150,0.06,0.3,0.64,4.0,19.61
151,0.23,0.38,0.39,2.0,8.97
152,0.2,0.37,0.43,1.0,9.49
153,0.16,0.35,0.49,3.0,10.67
154,0.42,0.38,0.21,1.0,9.34
155,0.19,0.36,0.46,4.0,9.77
156,0.33,0.39,0.29,4.0,8.62
157,0.09,0.32,0.58,5.0,14.43
158,0.1,0.34,0.56,2.0,13.71
159,0.24,0.38,0.38,1.0,8.88
160,0.19,0.36,0.44,1.0,9.55
161,0.05,0.28,0.67,2.0,24.0
162,0.19,0.36,0.44,1.0,9.59
163,0.25,0.38,0.37,3.0,8.84
164,0.08,0.33,0.59,1.0,16.14
165,0.25,0.39,0.36,2.0,8.78
166,0.04,0.3,0.66,1.0,27.17
167,0.25,0.38,0.37,2.0,8.77
168,0.38,0.39,0.24,1.0,8.88
169,0.1,0.32,0.58,2.0,14.07
170,0.14,0.34,0.52,1.0,11.23
171,0.19,0.36,0.45,5.0,9.76
172,0.3,0.38,0.32,1.0,8.58
173,0.42,0.37,0.21,3.0,9.3
174,0.25,0.38,0.37,1.0,8.76
175,0.05,0.28,0.67,1.0,23.52
176,0.44,0.37,0.19,1.0,9.61
177,0.07,0.3,0.63,2.0,18.38
178,0.12,0.35,0.53,2.0,12.1
179,,,,1.0,
180,0.23,0.37,0.4,3.0,8.95
181,0.06,0.31,0.63,2.0,21.28
182,0.34,0.38,0.28,2.0,8.63
183,0.29,0.38,0.33,3.0,8.61
184,0.09,0.31,0.6,5.0,15.05
185,0.27,0.38,0.35,2.0,8.63
186,0.22,0.37,0.41,3.0,9.06
187,0.07,0.3,0.63,4.0,18.88
188,0.09,0.3,0.61,1.0,15.05
189,0.29,0.38,0.34,3.0,8.52
190,0.18,0.36,0.45,1.0,9.77
191,0.18,0.35,0.47,1.0,9.92
192,0.12,0.33,0.55,1.0,12.32
193,0.11,0.32,0.57,2.0,13.49
194,0.2,0.35,0.45,2.0,9.43
195,0.22,0.36,0.42,1.0,9.15
196,0.06,0.29,0.65,3.0,20.71
197,0.07,0.29,0.63,3.0,17.99
198,0.19,0.37,0.44,1.0,9.58
199,0.11,0.32,0.57,2.0,13.09
200,0.19,0.36,0.45,1.0,9.76
201,0.09,0.31,0.6,1.0,15.32
202,0.08,0.3,0.63,2.0,17.23
203,0.52,0.35,0.13,1.0,11.55
204,0.23,0.37,0.4,1.0,9.11
205,0.2,0.37,0.44,3.0,9.57
206,0.09,0.33,0.58,1.0,14.75
207,0.06,0.3,0.64,1.0,20.18
208,0.26,0.38,0.36,1.0,8.73
209,0.21,0.37,0.41,1.0,9.25
210,0.16,0.36,0.48,1.0,10.54
211,0.3,0.38,0.32,1.0,8.61
212,0.17,0.36,0.47,2.0,10.24
213,0.12,0.32,0.56,1.0,12.65
214,0.2,0.36,0.44,1.0,9.53
215,0.14,0.35,0.5,1.0,11.17
216,0.21,0.38,0.41,3.0,9.36
217,0.11,0.33,0.56,3.0,13.01
218,0.06,0.31,0.63,5.0,20.67
219,0.55,0.34,0.11,1.0,13.15
220,0.44,0.37,0.19,1.0,9.67
221,0.42,0.38,0.21,1.0,9.34
222,0.05,0.29,0.66,2.0,23.89
223,0.25,0.37,0.38,1.0,8.86
224,0.2,0.37,0.44,1.0,9.53
225,0.27,0.39,0.34,2.0,8.69
226,0.15,0.34,0.51,2.0,10.94
227,0.21,0.36,0.42,1.0,9.28
228,0.07,0.31,0.62,1.0,19.04
229,0.21,0.36,0.43,1.0,9.3
230,0.27,0.38,0.35,2.0,8.69
231,0.27,0.38,0.34,1.0,8.66
232,0.1,0.32,0.57,1.0,13.63
233,0.42,0.37,0.21,2.0,9.32
234,0.24,0.37,0.4,1.0,8.95
235,0.22,0.37,0.42,3.0,9.18
236,0.13,0.35,0.53,2.0,11.9
237,0.21,0.37,0.42,1.0,9.31
238,0.22,0.38,0.4,1.0,9.11
239,0.2,0.37,0.43,1.0,9.43
240,0.22,0.37,0.41,3.0,9.21
241,0.06,0.3,0.65,2.0,21.74
242,0.24,0.38,0.38,1.0,8.84
243,0.28,0.39,0.33,1.0,8.64
244,0.15,0.36,0.49,1.0,10.82
245,0.13,0.32,0.54,4.0,11.75
246,0.04,0.29,0.67,1.0,26.73
247,0.23,0.37,0.4,1.0,8.99
248,0.22,0.37,0.41,1.0,9.21
249,0.09,0.33,0.59,8.0,15.11
250,0.12,0.34,0.55,1.0,12.65
251,0.06,0.32,0.62,1.0,19.17
252,0.37,0.37,0.26,2.0,8.72
253,0.55,0.33,0.13,1.0,12.07
254,0.11,0.34,0.55,4.0,12.98
255,0.08,0.32,0.6,2.0,16.55
256,0.32,0.38,0.3,1.0,8.59
257,0.07,0.29,0.63,3.0,17.6
258,0.09,0.31,0.6,2.0,15.59
259,0.24,0.37,0.39,1.0,8.91
260,0.1,0.31,0.59,3.0,14.18
261,0.34,0.38,0.29,1.0,8.65
262,0.27,0.37,0.36,3.0,8.73
263,0.19,0.38,0.43,1.0,9.65
264,0.08,0.32,0.59,5.0,15.8
265,0.07,0.31,0.62,2.0,19.09
266,0.24,0.37,0.39,2.0,8.96
267,0.2,0.38,0.42,1.0,9.39
268,0.11,0.33,0.56,4.0,13.3
269,0.14,0.36,0.5,1.0,11.3
270,0.24,0.38,0.38,2.0,8.95
271,0.06,0.32,0.62,1.0,20.63
272,0.1,0.31,0.59,1.0,13.88
273,0.42,0.37,0.21,1.0,9.37
274,0.28,0.38,0.34,1.0,8.64
275,0.27,0.38,0.35,1.0,8.71
276,0.09,0.33,0.58,3.0,15.5
277,0.5,0.35,0.15,2.0,11.09
278,0.2,0.35,0.45,1.0,9.6
279,0.19,0.36,0.45,3.0,9.76
280,0.16,0.35,0.49,1.0,10.63
281,0.3,0.38,0.32,1.0,8.64
282,0.17,0.36,0.47,2.0,10.37
283,0.14,0.36,0.5,5.0,11.44
284,0.08,0.32,0.6,1.0,16.14
285,0.24,0.36,0.4,1.0,8.96
286,0.4,0.37,0.23,1.0,9.04
287,0.22,0.37,0.41,1.0,9.19
288,0.21,0.36,0.43,2.0,9.41
289,0.23,0.38,0.39,2.0,8.99
290,0.1,0.33,0.57,1.0,14.02
291,0.1,0.33,0.57,2.0,14.36
292,0.08,0.33,0.59,4.0,15.88
293,0.23,0.39,0.38,1.0,9.03
294,0.26,0.39,0.35,1.0,8.79
295,0.25,0.37,0.37,2.0,8.83
296,0.27,0.38,0.36,1.0,8.74
