2.09 3.28 3.54 -1
2.35 3.22 3.04 -4
6.57 3.91 1.52 -1
2.45 3.22 2.9 -2
1.52 3.88 6.71 -1
2.17 3.24 3.45 -1
4.76 3.53 1.77 -1
3.08 3.27 2.34 -1
2.84 3.3 2.48 -4
2.11 3.22 3.59 -1
8.0 4.42 1.41 -5
5.15 3.65 1.68 -1
2.91 3.28 2.42 -2
2.49 3.28 2.81 -1
1.78 3.46 4.77 -1
1.92 3.38 4.07 -3
3.86 3.37 1.96 -1
5.88 3.89 1.58 -4
2.97 3.22 2.44 -2
2.44 3.25 2.92 -1
6.5 4.01 1.52 -4
2.3 3.3 3.12 -2
1.98 3.33 3.84 -1
2.21 3.24 3.32 -2
3.94 3.48 1.9 -1
2.35 3.18 3.1 -2
2.06 3.33 3.63 -5
1.62 3.77 5.5 -2
4.42 3.55 1.8 -1
3.77 3.32 2.03 -2
2.87 3.22 2.49 -2
2.16 3.22 3.52 -2
7.17 4.31 1.44 -1
8.88 4.85 1.35 -1
3.16 3.3 2.28 -2
5.22 3.58 1.7 -1
1.78 3.51 4.59 -1
6.88 4.08 1.49 -1
1.82 3.43 4.51 -1
2.95 3.29 2.38 -2
1.69 3.63 5.12 -1
3.88 3.53 1.91 -2
4.97 3.57 1.72 -1
3.54 3.35 2.08 -3
5.96 3.91 1.56 -4
1.7 3.52 5.14 -1
2.48 3.26 2.78 -1
1.69 3.6 5.08 -1
2.28 3.38 3.05 -1
2.48 3.28 2.82 -1
4.03 3.37 1.94 -2
6.99 4.15 1.49 -2
2.09 3.38 3.48 -1
4.8 3.61 1.74 -1
5.08 3.63 1.7 -5
1.91 3.47 4.01 -1
2.37 3.29 2.96 -1
2.41 3.38 2.82 -2
4.38 3.62 1.79 -2
1.28 5.17 11.42 -2
1.13 7.7 21.33 -1
2.55 3.28 2.75 -1
1.8 3.41 4.5 -2
2.47 3.25 2.77 -1
2.1 3.29 3.44 -1
5.94 3.82 1.56 -1
2.6 3.2 2.71 -3
1.52 3.94 6.62 -1
2.02 3.31 3.68 -1
8.38 4.28 1.4 -1
1.89 3.41 4.17 -1
2.54 3.23 2.78 -1
2.83 3.22 2.54 -1
4.98 3.66 1.7 -3
2.61 3.28 2.65 -2
1.92 3.43 3.85 -1
2.18 3.22 3.29 -1
2.09 3.29 3.48 -1
2.01 3.44 3.6 -1
3.46 3.37 2.1 -1
1.85 3.45 4.21 -1
5.16 3.65 1.68 -1
2.38 3.28 2.93 -4
2.6 3.25 2.72 -1
6.24 4.05 1.52 -1
2.05 3.37 3.65 -1
2.44 3.21 2.9 -2
2.87 3.31 2.42 -2
